Employee_ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,MonthlyIncome,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,ExperienceRatio,PromotionGap,IncomePerLevel,CompanySwitchRate,RoleStability,PromotionDelay,LowIncomeFlag,Feedback,Sentiment,Attrition_Risk,Risk_Score,Risk_Level,Productivity_Risk_Score,Productivity_Risk_Level,Attrition_Risk_%,AgeGroup
45,31,0,Travel Rarely,Software Development,47,Degree,2,Male,103154,5,2,Technician,2,Divorced,4,No,89,0,3,6,6,7,6.0,-1,51577.0,inf,1.0,-7,0,Career growth is good,0.7,0.001149213677001719,0.1149213677001719,Low Risk,26.490868476652967,Low,0.1149213677001719,30-40
46,26,1,Travel Frequently,Data Science,14,Degree,2,Male,197241,1,2,Director,1,Married,8,No,13,11,5,10,5,6,0.8333333333333334,4,98620.5,0.7272727272727273,0.5,5,0,Poor management support,-0.4,0.7916635181394411,79.16635181394412,High Risk,96.32347384951954,High,79.16635181394412,18-30
47,43,0,No Travel,Cyber Security,3,Below College,4,Female,104392,5,3,Director,5,Single,4,Yes,64,13,3,3,6,4,0.21428571428571427,-1,34797.333333333336,0.3076923076923077,2.0,9,0,Career growth is good,0.7,0.0004841988148949502,0.04841988148949502,Low Risk,0.008544684968734414,Low,0.04841988148949502,40-50
48,19,0,Travel Frequently,Data Science,24,Degree,4,Female,195358,3,3,Support,5,Married,0,No,89,1,1,4,3,6,2.0,-2,65119.333333333336,0.0,0.75,-5,0,I am happy with my team,0.8,0.0009077769443920283,0.09077769443920283,Low Risk,23.54543135784221,Low,0.09077769443920283,18-30
49,37,0,Travel Rarely,Network Administration,19,Degree,5,Male,93791,4,6,Software Engineer,5,Divorced,4,No,43,16,4,4,3,8,0.23529411764705882,-4,15631.833333333334,0.25,0.75,8,0,Supportive management,0.5,0.00028908497546112745,0.028908497546112744,Low Risk,11.769807381919902,Low,0.028908497546112744,30-40
50,45,0,Travel Rarely,IT Services,38,Degree,3,Male,155270,4,7,Help Desk,1,Single,3,No,35,20,4,3,2,2,0.14285714285714285,1,22181.428571428572,0.15,0.6666666666666666,18,0,Good work life balance,0.7,0.018772824196735892,1.877282419673589,Low Risk,47.39010866229534,Medium,1.877282419673589,40-50
51,24,1,Travel Frequently,Data Science,34,Master's,2,Female,163297,3,5,Developer,5,Single,10,No,17,8,2,5,8,2,0.5555555555555556,3,32659.4,1.25,1.6,6,0,Poor management support,-0.4,0.9753892798752927,97.53892798752926,High Risk,40.742163762505164,Medium,97.53892798752926,18-30
52,61,0,Travel Rarely,Data Science,9,Graduation,2,Male,113913,4,7,Help Desk,4,Married,0,No,86,4,5,2,1,4,0.4,-2,16273.285714285714,0.0,0.5,0,0,Supportive management,0.5,0.02727603681854608,2.727603681854608,Low Risk,21.069577120327285,Low,2.727603681854608,
53,25,0,Travel Frequently,IT Services,30,Master's,4,Male,92794,3,8,Consultant,2,Married,3,No,71,8,1,8,10,8,0.8888888888888888,0,11599.25,0.375,1.25,0,0,I am happy with my team,0.8,0.033757053228371824,3.3757053228371823,Low Risk,50.595712704030085,Medium,3.3757053228371823,18-30
54,52,0,Travel Rarely,IT Services,32,Degree,4,Male,47669,3,8,Manager,3,Married,2,No,49,13,5,6,3,1,0.42857142857142855,5,5958.625,0.15384615384615385,0.5,12,0,I am happy with my team,0.8,0.014668996175580868,1.4668996175580868,Low Risk,41.43533522662789,Medium,1.4668996175580868,50-60
55,31,0,Travel Rarely,Software Development,13,Degree,4,Female,128690,4,1,HR,5,Single,6,No,92,8,2,4,2,8,0.4444444444444444,-4,128690.0,0.75,0.5,0,0,Good work life balance,0.7,0.0008449627946562485,0.08449627946562485,Low Risk,11.779616990493933,Low,0.08449627946562485,30-40
56,34,0,Travel Rarely,Software Development,18,Below College,1,Male,96789,5,2,Consultant,1,Married,8,Yes,43,2,1,5,3,6,1.6666666666666667,-1,48394.5,4.0,0.6,-4,0,Career growth is good,0.7,0.014616170196716946,1.4616170196716947,Low Risk,35.552050062295,Low,1.4616170196716947,30-40
57,53,0,Travel Rarely,IT Services,44,Graduation,3,Male,89978,3,5,IT,1,Divorced,1,No,57,17,2,6,6,0,0.3333333333333333,6,17995.6,0.058823529411764705,1.0,17,0,Career growth is good,0.7,0.10474866575614296,10.474866575614296,Low Risk,60.672035278049584,Medium,10.474866575614296,50-60
58,57,0,Travel Frequently,Data Science,22,Master's,3,Male,199660,1,1,Director,4,Single,3,No,83,11,3,5,2,3,0.4166666666666667,2,199660.0,0.2727272727272727,0.4,8,0,Supportive management,0.5,0.837751517434538,83.7751517434538,High Risk,70.6662032488448,High,83.7751517434538,50-60
59,21,0,Travel Rarely,Network Administration,4,Below College,1,Male,154015,3,3,Developer,3,Divorced,9,No,80,20,5,5,4,0,0.23809523809523808,5,51338.333333333336,0.45,0.8,20,0,I am happy with my team,0.8,0.0022099095208128563,0.22099095208128564,Low Risk,41.21546899154376,Medium,0.22099095208128564,18-30
60,19,0,No Travel,Data Science,23,PhD,2,Male,192154,1,2,Business Analyst,3,Married,7,No,43,2,2,0,3,0,0.0,0,96077.0,3.5,inf,2,0,Career growth is good,0.7,0.15573975438854035,15.573975438854035,Low Risk,67.45423095979778,Medium,15.573975438854035,18-30
61,23,0,Travel Rarely,Network Administration,7,Graduation,5,Female,183775,5,7,Director,1,Married,8,Yes,0,13,3,0,8,0,0.0,0,26253.571428571428,0.6153846153846154,inf,13,0,Career growth is good,0.7,0.0018664689268165524,0.18664689268165524,Low Risk,35.327055334002644,Low,0.18664689268165524,18-30
62,59,0,Travel Rarely,IT Services,44,PhD,5,Female,136672,3,3,QA Analyst,5,Married,4,Yes,78,10,2,5,5,8,0.45454545454545453,-3,45557.333333333336,0.4,1.0,2,0,Career growth is good,0.7,0.0014604184058018845,0.14604184058018846,Low Risk,23.555183854220033,Low,0.14604184058018846,50-60
63,21,0,Travel Rarely,Network Administration,11,Degree,2,Female,144137,3,6,HR,4,Married,7,No,70,4,5,8,9,5,1.6,3,24022.833333333332,1.75,1.125,-1,0,I am happy with my team,0.8,0.0010993304832226428,0.10993304832226428,Low Risk,32.37234112617451,Low,0.10993304832226428,18-30
64,46,0,Travel Rarely,Software Development,39,Degree,5,Female,97287,3,2,Consultant,4,Single,5,No,77,9,5,9,1,0,0.9,9,48643.5,0.5555555555555556,0.1111111111111111,9,0,Supportive management,0.5,0.0007501092094939208,0.07501092094939207,Low Risk,32.3661783978146,Low,0.07501092094939207,40-50
65,35,0,Travel Rarely,IT Services,42,Below College,4,Female,184343,1,3,Consultant,3,Divorced,1,Yes,1,13,2,10,2,6,0.7142857142857143,4,61447.666666666664,0.07692307692307693,0.2,7,0,I am happy with my team,0.8,0.0013422685469109137,0.13422685469109136,Low Risk,64.72956944494548,Medium,0.13422685469109136,30-40
66,43,0,No Travel,Cyber Security,41,Graduation,3,Male,133299,5,7,Help Desk,4,Married,6,No,7,20,4,8,3,5,0.38095238095238093,3,19042.714285714286,0.3,0.375,15,0,Career growth is good,0.7,0.004133239742844658,0.41332397428446577,Low Risk,8.896468936638435,Low,0.41332397428446577,40-50
67,61,0,Travel Rarely,Network Administration,34,Graduation,4,Female,135259,4,8,Help Desk,2,Married,10,No,91,15,5,1,8,4,0.0625,-3,16907.375,0.6666666666666666,8.0,11,0,Good work life balance,0.7,0.15262523923928278,15.262523923928278,Low Risk,40.92868069245794,Medium,15.262523923928278,
68,51,0,Travel Rarely,Network Administration,5,Degree,5,Male,99404,2,5,QA Analyst,3,Single,9,No,9,5,3,0,10,2,0.0,-2,19880.8,1.8,inf,3,0,Good work life balance,0.7,0.004034221294903178,0.40342212949031786,Low Risk,53.01236861108652,Medium,0.40342212949031786,50-60
69,27,0,Travel Rarely,Cyber Security,42,Degree,5,Female,161353,3,5,IT,1,Married,1,Yes,8,3,2,6,4,8,1.5,-2,32270.6,0.3333333333333333,0.6666666666666666,-5,0,I am happy with my team,0.8,0.0004761399215509307,0.04761399215509307,Low Risk,58.83193188096855,Medium,0.04761399215509307,18-30
70,53,0,Travel Rarely,Cyber Security,25,Master's,3,Female,195074,3,7,Software Engineer,4,Single,9,No,6,0,3,4,3,6,4.0,-2,27867.714285714286,inf,0.75,-6,0,Good work life balance,0.7,0.007886496045673933,0.7886496045673933,Low Risk,32.492114636100126,Low,0.7886496045673933,50-60
71,31,0,Travel Rarely,IT Services,28,Master's,4,Male,86446,3,3,Business Analyst,3,Divorced,6,No,48,18,3,4,2,3,0.21052631578947367,1,28815.333333333332,0.3333333333333333,0.5,15,0,Supportive management,0.5,0.0018259618725362655,0.18259618725362656,Low Risk,41.20869344480946,Medium,0.18259618725362656,30-40
72,48,0,No Travel,Data Science,14,Degree,3,Male,108845,4,3,QA Analyst,5,Divorced,9,No,34,19,3,9,4,8,0.45,1,36281.666666666664,0.47368421052631576,0.4444444444444444,11,0,Good work life balance,0.7,0.0003100364626539397,0.03100364626539397,Low Risk,11.770177114046835,Low,0.03100364626539397,40-50
73,32,0,Travel Rarely,Cyber Security,27,Graduation,5,Male,34391,5,8,Technician,5,Single,6,No,35,18,5,1,8,0,0.05263157894736842,1,4298.875,0.3333333333333333,8.0,18,0,Supportive management,0.5,0.04346350995975908,4.346350995975908,Low Risk,0.7670031169369249,Low,4.346350995975908,30-40
74,25,1,Travel Rarely,Network Administration,16,Graduation,3,Female,69525,1,7,Support,2,Divorced,0,No,71,9,2,8,2,7,0.8,1,9932.142857142857,0.0,0.25,2,0,Salary is low,0.0,0.6340621379017364,63.40621379017364,Medium Risk,84.71874361003064,High,63.40621379017364,18-30
75,31,0,No Travel,Cyber Security,27,Master's,3,Male,125250,4,4,HR,1,Married,8,No,73,7,5,3,4,1,0.375,2,31312.5,1.1428571428571428,1.3333333333333333,6,0,I am happy with my team,0.8,0.0025868687408356667,0.25868687408356666,Low Risk,47.10447415425004,Medium,0.25868687408356666,30-40
76,40,0,Travel Rarely,IT Services,2,Graduation,5,Female,59325,5,7,Director,5,Divorced,9,No,54,19,2,2,3,2,0.1,0,8475.0,0.47368421052631576,1.5,17,0,I am happy with my team,0.8,0.001751710027582014,0.1751710027582014,Low Risk,0.03091252989850613,Low,0.1751710027582014,30-40
77,57,0,Travel Rarely,IT Services,19,Degree,3,Female,193106,2,2,Consultant,3,Single,9,No,1,2,2,10,4,0,3.3333333333333335,10,96553.0,4.5,0.4,2,0,Good work life balance,0.7,0.03331019254661487,3.3310192546614865,Low Risk,53.52900339788144,Medium,3.3310192546614865,50-60
78,38,0,Travel Rarely,Network Administration,23,Below College,4,Male,114817,5,4,Business Analyst,4,Divorced,8,No,22,15,3,3,6,7,0.1875,-4,28704.25,0.5333333333333333,2.0,8,0,I am happy with my team,0.8,0.00018361473501700355,0.018361473501700355,Low Risk,8.826769671794418,Low,0.018361473501700355,30-40
79,33,0,Travel Rarely,Network Administration,41,Graduation,5,Male,99467,5,7,Manager,5,Divorced,5,Yes,83,20,4,2,5,2,0.09523809523809523,0,14209.57142857143,0.25,2.5,18,0,Career growth is good,0.7,0.003203094029580801,0.3203094029580801,Low Risk,0.05652518875730824,Low,0.3203094029580801,30-40
80,62,1,Travel Rarely,Network Administration,14,Degree,3,Female,59842,1,3,Software Engineer,5,Divorced,6,No,86,4,4,6,4,4,1.2,2,19947.333333333332,1.5,0.6666666666666666,0,0,High stress workload,0.16,0.30292874801010783,30.292874801010782,Low Risk,52.40462496488426,Medium,30.292874801010782,
81,35,0,No Travel,Data Science,47,Degree,2,Female,100744,5,5,Manager,2,Single,2,No,85,7,1,5,3,8,0.625,-3,20148.8,0.2857142857142857,0.6,-1,0,I am happy with my team,0.8,0.012127725349381056,1.2127725349381056,Low Risk,26.684606917930253,Low,1.2127725349381056,30-40
82,41,0,No Travel,Network Administration,26,Degree,4,Male,153726,5,2,Director,4,Divorced,10,Yes,84,16,1,8,9,4,0.47058823529411764,4,76863.0,0.625,1.125,12,0,Supportive management,0.5,0.009756830989268014,0.9756830989268014,Low Risk,8.995708782163552,Low,0.9756830989268014,40-50
83,43,0,Travel Frequently,IT Services,8,Degree,4,Male,72864,3,5,Consultant,4,Divorced,7,No,25,13,5,4,3,6,0.2857142857142857,-2,14572.8,0.5384615384615384,0.75,7,0,Good work life balance,0.7,0.0007868525115605531,0.07868525115605532,Low Risk,32.366826809027536,Low,0.07868525115605532,40-50
84,42,0,Travel Rarely,IT Services,27,Graduation,4,Male,141490,1,3,Director,5,Married,2,No,95,18,4,7,5,4,0.3684210526315789,3,47163.333333333336,0.1111111111111111,0.7142857142857143,14,0,I am happy with my team,0.8,0.0007345350196937023,0.07345350196937023,Low Risk,47.07178591211224,Medium,0.07345350196937023,40-50
85,62,0,No Travel,Cyber Security,47,Graduation,1,Female,90246,5,7,Software Engineer,4,Divorced,5,No,41,9,3,6,2,6,0.6,0,12892.285714285714,0.5555555555555556,0.3333333333333333,3,0,Good work life balance,0.7,0.11152319078596215,11.152319078596214,Low Risk,10.791585719752273,Low,11.152319078596214,
86,58,0,Travel Rarely,Network Administration,40,Degree,5,Male,72732,5,7,HR,1,Married,7,Yes,22,15,1,8,6,8,0.5,0,10390.285714285714,0.4666666666666667,0.75,7,0,Supportive management,0.5,0.026513687012390055,2.6513687012390057,Low Risk,35.76200624139512,Low,2.6513687012390057,50-60
87,46,0,Travel Rarely,Data Science,28,Degree,1,Female,73659,3,4,IT,1,Divorced,1,No,77,0,5,2,4,0,2.0,2,18414.75,inf,2.0,0,0,Career growth is good,0.7,0.059220007808512616,5.922000780851262,Low Risk,59.868588373091406,Medium,5.922000780851262,40-50
